Map_Id	Map_Label	Parent_id	Parent_Area	NGI_POLYGON_ID	Geo_PolygonID	LOGICAL_GROUPING	MISSING_SHAPE_FILE	Level	Old ΧΕ Area ID
435	Δ. Θεσπρωτικού 	22	Ν. Πρέβεζας	3404000				3	841
436	Δ. Θεσσαλιώτιδος 	18	Ν. Φθιώτιδας	0611000				3	847
438	Δ. Θεστιέων 	7	Ν. Αιτωλοακαρνανίας	0113000				3	801
442	Δ. Θίσβης 	38	Ν. Βοιωτίας	0311000				3	807
443	Δ. Θουρίας 	52	Ν. Μεσσηνίας	1715000				3	836
444	Δ. Θραψανού 	10	Ν. Ηρακλείου	9113000				3	817
446	Δ. Ιάρδανου 	44	Ν. Ηλείας	1412000				3	815
447	Δ. Ιάσμου 	28	Ν. Ροδόπης	7304000				3	843
452	Δ. Ιθώμης 	45	Ν. Καρδίτσας	4105000				3	822
453	Δ. Ιθώμης 	52	Ν. Μεσσηνίας	1716000				3	836
455	Δ. Ινάχου 	7	Ν. Αιτωλοακαρνανίας	0114000				3	801
456	Δ. Ιναχωρίου 	30	Ν. Χανίων	9410000				3	851
458	Δ. Ιτάμου 	45	Ν. Καρδίτσας	4106000				3	822
459	Δ. Ιτάνου 	39	Ν. Λασιθίου	9203000				3	831
